asin,product_title,category,sub_category,date,units_sold,selling_price,unit_cost,fba_fees,revenue,profit_margin_pct,bsr_rank,stock_level,profit_per_unit,calc_revenue
B0DSJP1TZ8,"NaturaCare All NATURALS Milky Glow Niacinamide Sunscreen Drops SPF 50 | Lightweight, Hydrating, & Non-Greasy | Broad-Spectrum UVA/UV",skin glow and tan,Sunscreen Drops,2026-02-24,4,683.63,0.0,22.5,2050.89,96.70874595907144,0,0,661.13,2734.52
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-02-24,4,370.81,0.0,8.11,1112.44,97.81289609233839,0,0,362.7,1483.24
B0DHH75TQ4,"NaturaCare Naturals Natural Henna Hair Dye, No Ammonia, For All Hair Types | Hair Color | Rich, Long-Lasting Color & Shine | Safe for All Hair Types | Vegan & Cruelty-Free""",Hair Care,Henna Hair Dye,2026-02-24,16,479.5,0.0,14.1,6233.5,97.0594369134515,0,0,465.4,7672.0
B0DR346PWR,"NATURACARE NATURALS 32 Herbs Hair growth Oil | Natural Oil Blend for Stronger, Thicker Hair | Promotes Hair Growth & Reduces Hair Fall | Enriched with Ayurvedic Herbs""",Hair Care,32 Herbs Hair Growth Oil,2026-02-24,5,548.0,0.0,15.32,2192.0,97.20437956204378,0,0,532.68,2740.0
B0BL73PT5W,"NaturaCare Natural Anti-Acne Face Wash-100ml with Thulasi Extract, Sandal Oil, Neem Extract, Coco Glucoside ||Cleanses & Exfoliates for Clear & Refreshed Skin - All Skin Types ||",Face Wash,Anti-Acne Face Wash,2026-02-24,1,404.15,0.0,8.62,404.15,97.86712854138315,0,0,395.53,404.15
B0BTLXHXT8,NaturaCare Naturals Goat Milk Redwine Soap Bar-100g ||Pamper Your Skin with Antioxidant Rich Cleansing||,Goat Milk Soap,Goat Milk Redwine,2026-02-24,1,239.75,0.0,9.7,239.75,95.95411887382691,0,0,230.05,239.75
B0BTPLBWBQ,NaturaCare Natural Saffron Moisturizing Cream All Natural Nourishment|-50g,skin glow and tan,Moisturizers,2026-02-24,1,479.5,0.0,12.22,479.5,97.45151199165797,0,0,467.28,479.5
B0BK52C49W,"NaturaCare Red Sandal Exfoliate Scrubbing Face Wash-100ml with Micronized Nano-Particles,Red sandal extract,Hydroxyethyl Cellulose,Rose oil,Grape fruit oil,Lavender oil,Coco glucoside ||Natural Scrub for All Skin Types||",Face Wash,Red Sandal Exfoliate Face Wash,2026-02-24,2,472.65,0.0,13.34,945.3,97.17761557177617,0,0,459.31,945.3
B0CV14GGRY,"NaturaCare Nalangu maavu|| Traditional Herbal Powder|| Gives shine & Glow | Natural Skin Care & Cleansing Powder | Brightens, Exfoliates & Nourishes Skin | Ayurvedic Beauty Ritual""",Body care,Nalangu Mavvu,2026-02-24,7,609.65,0.0,22.19,3657.9,96.3602066759616,0,0,587.4599999999999,4267.55
B0CV1638G6,NaturaCare Naturals Vitamin C + E face wash | Suitable for All Skin Types,Face Wash,Vitamin C +Face Wash,2026-02-24,1,479.5,0.0,11.85,479.5,97.52867570385818,0,0,467.65,479.5
B0CV191CD6,"NaturaCare Naturals Vitamin C Glow Serum|| Softening, Hydrating, Brightens & Evens Skin Tone |",Hair Care,Vitamin C Glow Serum,2026-02-24,1,685.0,0.0,21.74,685.0,96.82627737226277,0,0,663.26,685.0
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-02-24,38,709.31,0.0,45.76,21988.5,93.54865996531841,0,0,663.55,26953.78
B0DZTKSRX7,"NaturaCare ABC Malt Health Drink Powder – Apple, Beetroot & Carrot Blend | Immunity Booster & Natural Energy | Antioxidant-Rich Daily Nutrition | 200 g",Milk Mixtures,Abc Malt,2026-02-25,7,615.13,0.0,0.0,3690.78,100.0,0,0,615.13,4305.91
B0GLPR31P5,"NaturaCare Naturals Coffee Mocha Muesli 500g | Breakfast Cereal with Oats, Seeds & Chocolate Flavor | No Refined Sugar | High Fiber & Protein | 100% Natural & Vegetarian",General,Unknown,2026-02-25,1,664.45,0.0,0.0,664.45,100.0,0,0,664.45,664.45
B0GDQW22JN,NaturaCare Naturals Choco Malt 250g | Multi Grain Instant Health Drink Mix with Natural Cocoa | Energy & Nutrition Booster,Milk Mixtures,Choco Malt,2026-02-25,1,548.0,0.0,0.0,548.0,100.0,0,0,548.0,548.0
B0GDQPQ8VK,NaturaCare Naturals Paruthi Paal Powder 250g | Traditional Cotton Seed Health Mix | Natural Energy Drink Mix,Milk Mixtures,Paruthi Paal Powder,2026-02-25,1,548.0,0.0,0.0,548.0,100.0,0,0,548.0,548.0
B0G94NLS8S,"NaturaCare Naturals Biotin Hair Gummies | Supports Hair Growth & Hair Fall Control | With Zinc, Vitamins & Prebiotics | No Added Sugar | 30 Gummies",Hair Care,Biotin Hair Gummies,2026-02-25,1,609.65,0.0,0.0,609.65,100.0,0,0,609.65,609.65
B0F6N5XPBS,"NaturaCare Naturals Premium Herbal Shampoo | Volumizing, Nourishing & Anti Hair Fall | Paraben & Sulphate Free for All Hair Types | Natural Growth & Scalp Strength | 200 ml",Hair Shampoos,Herbal Shampoo,2026-02-25,1,404.15,0.0,0.0,404.15,100.0,0,0,404.15,404.15
B0F6K4ZJX4,"NaturaCare Natural Saffron Night Gel -100g || Revitalize Your Skin with Our Saffron Infused Night Gel- Experience Radiant, Youthful Results |Lightweight Overnight Repair",Face gel,Saffron Night Gel,2026-02-25,5,541.15,0.0,0.0,2164.6,100.0,0,0,541.15,2705.75
B0DSJP1TZ8,"NaturaCare All NATURALS Milky Glow Niacinamide Sunscreen Drops SPF 50 | Lightweight, Hydrating, & Non-Greasy | Broad-Spectrum UVA/UV",skin glow and tan,Sunscreen Drops,2026-02-25,1,683.63,0.0,0.0,683.63,100.0,0,0,683.63,683.63
B0DR346PWR,"NATURACARE NATURALS 32 Herbs Hair growth Oil | Natural Oil Blend for Stronger, Thicker Hair | Promotes Hair Growth & Reduces Hair Fall | Enriched with Ayurvedic Herbs""",Hair Care,32 Herbs Hair Growth Oil,2026-02-25,1,493.2,0.0,0.0,493.2,100.0,0,0,493.2,493.2
B0DHH75TQ4,"NaturaCare Naturals Natural Henna Hair Dye, No Ammonia, For All Hair Types | Hair Color | Rich, Long-Lasting Color & Shine | Safe for All Hair Types | Vegan & Cruelty-Free""",Hair Care,Henna Hair Dye,2026-02-25,21,476.68,0.0,0.0,8103.55,100.0,0,0,476.68,10010.28
B0CV14GGRY,"NaturaCare Nalangu maavu|| Traditional Herbal Powder|| Gives shine & Glow | Natural Skin Care & Cleansing Powder | Brightens, Exfoliates & Nourishes Skin | Ayurvedic Beauty Ritual""",Body care,Nalangu Mavvu,2026-02-25,2,609.65,0.0,0.0,1219.3,100.0,0,0,609.65,1219.3
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-02-25,5,383.6,0.0,0.0,1534.4,100.0,0,0,383.6,1918.0
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-02-25,50,714.24,0.0,0.0,29283.75,100.0,0,0,714.24,35712.0
B0BT7ZQ82C,NaturaCare Natural Vitamin C Foaming Face Wash Revitalize Your Skin with Antioxidant-Rich Formula|150ml,Face Wash,Vitamin C Foaming Face,2026-02-25,1,479.5,0.0,0.0,479.5,100.0,0,0,479.5,479.5
B0BNBLMNDJ,"NaturaCare Rice Goat Milk Soap-100g Extra virgin olive oil, Farm fresh goat milk, Coconut oil ||100% Natural Ingredients for Radiant Skin ||",Goat Milk Soap,Goat Milk Soap,2026-02-25,1,239.75,0.0,0.0,239.75,100.0,0,0,239.75,239.75
B0BL73PT5W,"NaturaCare Natural Anti-Acne Face Wash-100ml with Thulasi Extract, Sandal Oil, Neem Extract, Coco Glucoside ||Cleanses & Exfoliates for Clear & Refreshed Skin - All Skin Types ||",Face Wash,Anti-Acne Face Wash,2026-02-25,1,404.15,0.0,0.0,404.15,100.0,0,0,404.15,404.15
B0BK5186GV,NaturaCare Coffee Face Wash Radiant Complexion Coffee Face Wash with Organic Extract & Nourishing Ingredients100ml,Face Wash,Coffeeface Wash,2026-02-25,1,404.15,0.0,0.0,404.15,100.0,0,0,404.15,404.15
B0G94NLS8S,"NaturaCare Naturals Biotin Hair Gummies | Supports Hair Growth & Hair Fall Control | With Zinc, Vitamins & Prebiotics | No Added Sugar | 30 Gummies",Hair Care,Biotin Hair Gummies,2026-02-26,2,609.65,0.0,21.92,1219.3,96.40449438202248,0,0,587.73,1219.3
